Cluster,Value,Type
0,98.739,Wheat and rice products
1,117.125,Wheat and rice products
2,129.0485714,Wheat and rice products
0,229.323,Vegetable and fruit products
1,244.029,Vegetable and fruit products
2,288.9571429,Vegetable and fruit products
0,24.95,Seafood products
1,12.111,Seafood products
2,31.22285714,Seafood products
0,121.197,Beverages incl. alcohol
1,103.663,Beverages incl. alcohol
2,73.26142857,Beverages incl. alcohol
0,93.318,Meat
1,80.986,Meat
2,99.31571429,Meat
0,33.728,Poultry meat and eggs
1,29.454,Poultry meat and eggs
2,34.89,Poultry meat and eggs
0,221.124,Oils and milk products
1,169.863,Oils and milk products
2,180.0514286,Oils and milk products
0,8.944,Coffee and tea
1,3.393,Coffee and tea
2,4.688571429,Coffee and tea
