Domain Code,Domain,Area Code (FAO),Code,Area,Element Code,Element,Item Code,Year,Unit,Wheat and products,Rice and products,Barley and poducts,Apples and products,"Aquatic Animals, Others",Aquatic Plants,Bananas,Beer,"Beverages, Alcoholic","Beverages, Fermented",Bovine Meat,"Butter, Ghee",Cephalopods,"Cereals, Other","Citrus, Other",Cloves,Cocoa Beans and products,Coconuts - Incl Copra,Coffee and products,Cream,Crustaceans,Dates,Demersal Fish,Eggs,"Fats, Animals, Raw","Fish, Body Oil","Fish, Liver Oil",Freshwater Fish,"Fruits, Other",Grapefruit and products,Grapes and products (excl wine),Groundnut Oil,Groundnuts,Honey,"Lemons, Limes and products",Maize Germ Oil,"Marine Fish, Other","Meat, Other",Milk - Excluding Butter,"Molluscs, Other",Mutton & Goat Meat,Nuts and products,Oats,"Offals, Edible","Oilcrops Oil, Other",Olive Oil,Olives (including preserved),Onions,"Oranges, Mandarines",Pelagic Fish,Pepper,Pigmeat,Pimento,Plantains,Potatoes and products,Poultry Meat,"Pulses, Other and products",Rape and Mustardseed,Soyabean Oil,Soyabeans,"Spices, Other",Sugar (Raw Equivalent),Sunflowerseed Oil,"Sweeteners, Other",Tea (including mate),Tomatoes and products,"Vegetables, Other",Wine
FBS,Food Balances (2014-),11,AUT,Austria,645,Food supply quantity (kg/capita/yr),2511,2014,kg,87.32,5.26,0.53,33.95,0.02,0,11.16,104.13,4.53,0,13.93,5.4,0.22,1.8,0.11,0.01,0,0.16,7.86,7.71,1.33,0.1,3.03,13.23,2.9,0,0,4.31,25.9,0.24,4.47,0.05,0.97,1.24,3.03,0,0.78,1.32,176.52,0.51,1.13,4.89,1.87,1.65,1.74,1.01,0.71,17.67,9.3,3.83,0.08,47.32,0.26,0,58.34,19.03,0.41,0,0.87,2.13,0.49,39.87,2.48,3.8,0.32,13.85,70.4,31.43
FBS,Food Balances (2014-),11,AUT,Austria,645,Food supply quantity (kg/capita/yr),2511,2015,kg,84.99,5.32,0.51,30.21,0.01,0,11.53,102.2,3.38,0.02,14.1,5.14,0.22,1.13,0.07,0.01,0,0.17,7.77,7.7,1.42,0.14,2.89,13.34,2.95,0,0,4.24,28.22,0.24,4.52,0.05,1.06,1.12,3.41,0,0.8,1.18,175.86,0.52,1.13,4.35,1.91,2.05,1.51,1.01,0.71,13.29,9.52,3.93,0.08,52.9,0.26,0,55.42,18.86,0.45,0,1.17,2.13,0.53,41.98,2.48,3.8,0.32,13.56,62.48,31.07
FBS,Food Balances (2014-),11,AUT,Austria,645,Food supply quantity (kg/capita/yr),2511,2016,kg,84.89,5.43,0.4,20.59,0.02,0,11.8,102.19,2.47,0,15.93,5.27,0.2,1.56,0.07,0.01,0,0.2,7.77,7.57,1.59,0.17,2.81,13.93,3.53,0,0,4.13,24.51,0.21,5.13,0.03,1.12,1.09,3.34,0,1,1.19,185.43,0.59,1.13,3.59,2.04,5.3,1.46,1.01,0.73,13.02,11.27,3.73,0.08,49.31,0.26,0.01,56.99,18.2,0.48,0,0.99,2.13,0.54,43.56,2.49,3.81,0.32,13.52,67.93,25.69
FBS,Food Balances (2014-),11,AUT,Austria,645,Food supply quantity (kg/capita/yr),2511,2017,kg,85.63,5.4,0.31,20.81,0.02,0,11.91,104.21,2.32,0,15.45,5.58,0.25,1.87,0.08,0.01,0,0.19,7.33,8.17,1.71,0.24,2.79,14.61,3.08,0,0,4.14,27.52,0.24,4.39,0.04,1.16,1.25,3.58,0,0.71,1.18,179.33,0.52,1.12,4.39,2.03,1.89,1.81,1.02,0.72,11.62,10.25,3.98,0.1,48.99,0.26,0.02,55.97,18.2,0.56,0,1.17,2.14,0.55,42.36,2.5,3.84,0.33,13.16,69.12,31.7
FBS,Food Balances (2014-),11,AUT,Austria,645,Food supply quantity (kg/capita/yr),2511,2018,kg,84.56,5.51,0.31,33.13,0.02,0,12.05,105.77,2.47,0,16.65,5.62,0.25,0.98,0.08,0.01,0,0.17,7.23,8.27,1.69,0.26,2.76,15.26,3.31,0,0,4.1,31.06,0.44,8.17,0.05,1.5,1.03,4.62,0.01,0.7,1.34,187.62,0.51,1.14,4.78,2.32,2.6,0.84,1.02,0.72,8.68,10.03,3.94,0.2,48.95,0.26,0.01,56.86,18.51,0.72,0,1.18,2.14,0.55,41.65,2.5,3.64,0.33,13.62,65.4,26.29
FBS,Food Balances (2014-),255,BEL,Belgium,645,Food supply quantity (kg/capita/yr),2511,2014,kg,114.62,10.5,2.33,9.07,0.05,0,3.24,76.31,1.31,0.57,12.55,4.74,0.17,0.04,0.9,0,0,0.55,5.84,10.47,2.52,0.28,7.23,8.07,8.09,0,0.08,7.18,15.48,1.75,6.57,0,0.21,0.62,2.11,2.06,0.44,1.32,97.61,3.73,1.34,3.17,0.16,2.72,1.9,1.24,0.65,0.77,105.56,4.93,0.13,31.12,0.13,1.6,98.19,12.44,0.18,1,4.3,0.19,0.56,47.74,1.74,4.94,0.27,18.1,93.53,25.16
FBS,Food Balances (2014-),255,BEL,Belgium,645,Food supply quantity (kg/capita/yr),2511,2015,kg,120.09,10.26,2.37,9.1,0.03,0,8.02,64.42,0.58,3,12.26,5.08,0.13,0.04,0.83,0,0,0.55,5.36,10.04,1.89,0.26,7.33,8.16,7,0,0,6.85,16.83,1.84,6.36,0,0.22,0.62,2.41,2.18,0.51,1.7,102.35,3.52,1.31,3.06,0.18,2.33,1.86,1.24,0.64,0.95,66.22,4.49,0.13,28.42,0.13,1.54,91.57,11.42,0.18,0,3.63,0.18,0.55,47.7,1.65,13.18,0.27,18.8,83.68,19.06
FBS,Food Balances (2014-),255,BEL,Belgium,645,Food supply quantity (kg/capita/yr),2511,2016,kg,108.74,11.11,2.13,9.87,0.03,0,13.36,80.44,0.78,1.5,11.76,3.97,0.24,0.08,0.84,0,0,0.58,4.91,8.05,1.42,0.34,7.51,7.4,6.33,0,0,6.81,15.78,1.7,7.25,0,0.24,0.63,2.62,2.03,0.25,1.43,107.29,3.31,1.12,2.78,0.16,2.18,1.87,1.24,0.64,0.91,66.13,4.21,0.13,41.27,0.13,0,88,12.49,0.18,0,4.89,0.2,0.57,47.44,1.62,10.72,0.27,18.2,96.27,19.14
FBS,Food Balances (2014-),255,BEL,Belgium,645,Food supply quantity (kg/capita/yr),2511,2017,kg,107.96,10.02,1.45,11.86,0.02,0,10.65,80.62,1.31,0.59,11.59,5.93,0.29,0.05,0.76,0,0,0.56,4.73,12.98,1.13,0.33,7.66,8.74,5.09,0,0,6.83,15.94,1.49,6.22,0,0.26,0.57,2.63,2.39,0.36,1.79,105.45,2.52,1.06,2.66,0.16,4.6,1.88,1.24,0.64,0.8,35.17,4.22,0.13,28.58,0.13,1.5,88.9,11.19,0.18,0,4.99,0.2,0.57,47.6,1.63,10.9,0.27,18.31,94.03,26.39
FBS,Food Balances (2014-),255,BEL,Belgium,645,Food supply quantity (kg/capita/yr),2511,2018,kg,110.51,11.37,1.32,8.65,0.02,0,14.85,80.93,1.46,0.59,11.86,5.25,0.29,0.1,0.72,0,0,0.55,4.78,15.15,1.13,0.35,7.62,7.22,5.21,0,0,6.8,21.86,1.23,6.24,0,0.26,0.45,2.53,1.76,0.35,1.85,103.35,2.51,1.14,2.66,0.16,5.99,1.79,1.25,0.64,0.84,62.74,4.19,0.13,28.35,0.13,1.22,85.87,11.51,0.18,0,4.24,0.2,0.87,47.51,1.8,14.61,0.27,16.26,92.58,28.2
FBS,Food Balances (2014-),27,BGR,Bulgaria,645,Food supply quantity (kg/capita/yr),2511,2014,kg,117.39,4.34,0.91,6.71,0.01,0,4.11,74.82,8.36,0.02,3.95,0.85,0.12,0.04,0.14,0,0,0.09,3.55,0.13,0.46,0.14,0.86,7.76,1.84,0,0,2.11,15.82,1.62,3.11,0.09,0.29,0,1.45,0.9,0.15,0.98,133.13,0.07,1.9,1.17,0.19,3.97,0.15,0.36,2.55,4.36,7.6,2.66,0,27.4,0.4,0.44,20.51,21.52,0.5,0,1.55,0.03,0.86,26.1,4.97,7.96,0.1,21.39,42.05,6.54
FBS,Food Balances (2014-),27,BGR,Bulgaria,645,Food supply quantity (kg/capita/yr),2511,2015,kg,105.56,4.62,0.7,6.04,0.06,0,3.41,76.68,5.59,0.28,3.87,1.09,0.13,0.05,0.35,0,0,0.08,3.7,0.01,0.62,0.17,0.84,8.19,1.81,0,0,2.21,21.49,1.41,6.81,0,0.33,0.13,1.44,0.9,0.25,0.8,134.86,0.05,1.54,1,0.21,4.18,0.17,0.33,2.02,4.13,7.55,2.87,0,27.72,0.41,0.8,25.84,21.7,0.51,0,1.71,0.03,2.46,25.99,6.76,7.85,0.1,23.31,49.34,11.31
FBS,Food Balances (2014-),27,BGR,Bulgaria,645,Food supply quantity (kg/capita/yr),2511,2016,kg,105.23,2.09,0.62,4.28,0.1,0,4.39,78.75,2.17,0.06,3.93,1.15,0.13,0.05,0.14,0,0,0.08,3.87,0.01,0.65,0.22,1.02,8.3,1.85,0,0,2.15,23.04,1.48,4.54,0,0.4,0.13,1.65,0.91,0.26,0.8,141.87,0.08,1.67,0.95,0.23,4.4,0.79,0.33,1.93,4.7,8.57,2.89,0,28.22,0.42,0.94,20.71,22.17,0.51,0,1.71,0.02,2.6,25.88,6.79,8.48,0.11,27.37,60.99,11.69
FBS,Food Balances (2014-),27,BGR,Bulgaria,645,Food supply quantity (kg/capita/yr),2511,2017,kg,107.41,2.45,0.68,3.01,0.15,0,4.98,80.83,2.07,0.19,3.68,1.15,0.24,0.18,0.15,0,0,0.09,3.99,0.01,0.4,0.2,1,8.48,1.82,0,0,1.95,25.53,1.37,7.52,0.02,0.51,0.13,2.16,0.91,0.33,0.79,142.92,0.13,1.38,1.17,0.25,4.35,0.54,0.34,1.94,5.49,7.48,3,0,29.12,0.43,1.08,26.87,22.05,0.52,0,1.72,0.03,1.13,25.77,6.82,8.61,0.11,30.16,55.18,12.96
FBS,Food Balances (2014-),27,BGR,Bulgaria,645,Food supply quantity (kg/capita/yr),2511,2018,kg,97.49,3.37,0.43,5.53,0.15,0,5.79,82.63,2.28,0.05,3.49,1.06,0.24,0.13,0.15,0,0,0.1,3.89,0.01,0.4,0.24,1.01,8.36,1.99,0,0,1.96,26.29,1.62,6.25,0,2.14,0.14,2.08,0.91,0.34,0.75,141.65,0.13,1.5,1.37,0.27,3.95,0.15,0.29,2.05,8.12,8.85,3.02,0,31.79,0.44,1.26,27.08,22.67,0.52,0,1.73,0.02,0.32,25.67,10.75,8.76,0.11,30.41,58.07,13.61
FBS,Food Balances (2014-),98,HRV,Croatia,645,Food supply quantity (kg/capita/yr),2511,2014,kg,105.45,2.54,0.75,19.61,0.01,0,11.4,80.98,3.18,0.23,11.19,1.12,2.12,0.69,0.04,0,0,0.18,4.37,0,0.7,0.04,3.62,8.3,2.31,0,0,1.44,12.14,0.56,18.04,0,1.05,0.64,2.42,1.97,0.09,1.59,203.74,0.73,1.38,1.95,0.17,4.15,0.42,0.69,2.09,10.01,11.68,9.33,0.1,43.78,0.16,0.16,36.91,9.07,0.14,0,1.09,0.01,0.09,38.21,3.99,18,0.06,9.33,43.45,13.38
