,Country,Element,Year,Pigmeat_Co2,Unit,Cattle_meat_Co2,Country_code,GDP,Population,Total_meat_Co2,Cattle_kg/cap/yr,Pig_kg/cap/yr,Total_kg/cap/yr,GDPperCapita
0,Austria,Emissions (CO2eq),2017,690.4183,gigagrams,2572.9971,AUT,476590.588,8795073.0,3263.4154,15.45,48.99,64.44,54188.3606878533
1,Belgium,Emissions (CO2eq),2017,1509.9986,gigagrams,3398.0221,BEL,573788.528,11349081.0,4908.0207,11.59,28.58,40.17,50558.14898140211
2,Bulgaria,Emissions (CO2eq),2017,119.4957,gigagrams,521.7422,BGR,151335.246,7075946.5,641.2379000000001,3.68,29.12,32.8,21387.279567475533
3,Croatia,Emissions (CO2eq),2017,278.9583,gigagrams,561.3339,HRV,110537.908,4124531.0,840.2922,12.27,49.1,61.37,26800.115698002995
4,Cyprus,Emissions (CO2eq),2017,102.6227,gigagrams,44.6723,CYP,32909.323,859520.0,147.295,6.72,39.23,45.95,38288.02471146686
5,Czechia,Emissions (CO2eq),2017,287.6875,gigagrams,1895.9501,CZE,411327.86,10589526.0,2183.6376,9.78,44.01,53.79,38842.896273166516
6,Denmark,Emissions (CO2eq),2017,3042.6204,gigagrams,1775.3953,DNK,319130.165,5760694.0,4818.0157,23.5,25.8,49.3,55397.86786105979
7,Estonia,Emissions (CO2eq),2017,65.7374,gigagrams,295.1217,EST,44556.482,1317384.0,360.85909999999996,7.45,34.41,41.86,33821.939540786894
8,Finland,Emissions (CO2eq),2017,280.7351,gigagrams,1125.2979,FIN,262026.563,5508209.0,1406.033,18.79,36.17,54.96,47570.192597993286
9,France,Emissions (CO2eq),2017,3055.2583,gigagrams,28581.4831,FRA,2983010.673,66883314.0,31636.741400000003,20.56,31.09,51.65,44600.22230656812
10,Germany,Emissions (CO2eq),2017,6817.5447,gigagrams,14711.2797,DEU,4386729.188,82657000.0,21528.824399999998,14.91,44.66,59.57,53071.47837448734
11,Greece,Emissions (CO2eq),2017,214.3009,gigagrams,854.7547,GRC,308068.164,10754679.0,1069.0556,15.45,28.61,44.06,28645.03570957348
12,Hungary,Emissions (CO2eq),2017,563.4991,gigagrams,1107.0795,HUN,288755.964,9787969.0,1670.5786,4.19,49.82,54.01,29501.11141545299
13,Ireland,Emissions (CO2eq),2017,384.8866,gigagrams,10795.3057,IRL,373770.633,4792490.0,11180.1923,20.28,28.85,49.13,77990.90514534197
14,Italy,Emissions (CO2eq),2017,2303.4586,gigagrams,7678.8324,ITA,2517184.468,60002254.0,9982.291000000001,15.83,40.24,56.07,41951.49848870678
15,Latvia,Emissions (CO2eq),2017,83.1592,gigagrams,470.1422,LVA,55645.386,1942247.0,553.3014000000001,5.56,41.4,46.96,28650.00486549857
16,Lithuania,Emissions (CO2eq),2017,164.129,gigagrams,744.468,LTU,95492.278,2828398.0,908.597,4.89,47.5,52.39,33761.9663145003
17,Luxembourg,Emissions (CO2eq),2017,23.9206,gigagrams,271.9923,LUX,68570.173,596337.0,295.9129,24.63,33.97,58.6,114985.60880844221
18,Malta,Emissions (CO2eq),2017,12.1554,gigagrams,15.9072,MLT,20393.776,468005.0,28.0626,18.76,28.11,46.87,43575.978889114434
19,Netherlands,Emissions (CO2eq),2017,3067.6712,gigagrams,4304.7983,NLD,943739.619,17131295.0,7372.469500000001,15.84,30.35,46.19,55088.63276243856
20,Poland,Emissions (CO2eq),2017,2190.8284,gigagrams,7262.9112,POL,1141694.015,38422346.0,9453.739599999999,0.19,54.81,55.0,29714.32340440638
21,Portugal,Emissions (CO2eq),2017,676.585,gigagrams,2727.7445,PRT,340370.325,10300300.0,3404.3295,17.77,38.88,56.65,33044.70015436444
22,Romania,Emissions (CO2eq),2017,908.4839,gigagrams,1591.973,ROU,531675.182,19592933.0,2500.4569,5.31,35.29,40.6,27136.069010188523
23,Slovakia,Emissions (CO2eq),2017,113.0549,gigagrams,570.8415,SVK,163511.624,5439231.5,683.8964,5.83,36.45,42.28,30061.530567323713
24,Slovenia,Emissions (CO2eq),2017,65.6954,gigagrams,693.058,SVN,75438.709,2066161.0,758.7534,17.37,30.59,47.96,36511.53467711374
25,Spain,Emissions (CO2eq),2017,8210.5585,gigagrams,10513.5705,ESP,1841779.72,46532869.0,18724.129,11.52,53.57,65.09,39580.18836104862
26,Sweden,Emissions (CO2eq),2017,34.1723,gigagrams,2042.5495,SWE,522476.825,10057695.0,2076.7218000000003,23.51,31.09,54.6,51947.96869461641
27,United Kingdom of Great Britain and Northern Ireland,Emissions (CO2eq),2017,1228.4034,gigagrams,14756.4482,,,,15984.8516,,,,
