Area,Farm-gate emissions,Food Household Consumption,Food Packaging,Food Processing,Food Retail,Food Transport,Food Waste Disposal,On-farm electricity use,Food Household Consumption CH4,Food Packaging CH4,Food Processing CH4,Food Retail CH4,Food Transport CH4,Food Waste Disposal CH4
Austria,11.55485821,14.62332894,6.361782318,14.61724538,5.70687246,20.41059589,2.119531153,2.737010265,0.030511632,0.012718808,0.029741316,0.023853487,0.000821824,0.453900732
Belgium,16.02221416,23.33061199,11.32522291,33.93516983,12.33031741,17.48997346,1.022173563,3.559925665,0.028232114,0.019114106,0.064038741,0.026021447,0.000684821,0.274506589
Bulgaria,23.89018272,12.45404697,6.223160455,13.4539541,8.474835651,9.4378409,0.096802361,1.695538974,0.028457501,0.007007751,0.021462377,0.017414857,0.001971149,0.457508619
Croatia,16.5338763,12.28258346,3.201184185,16.14621825,6.736073098,11.22851731,1.563927693,0.498072873,0.025064986,0.005207998,0.022988016,0.017940522,0.000910322,0.694239988
Cyprus,8.409427879,15.89503063,0.5031324,15.25492036,15.59060118,12.56805525,0.31612842,11.14242229,0.019842948,0.000205095,0.017578357,0.023321019,0.00095711,0.816782588
Czechia,14.10702976,22.08103058,7.899080778,22.86556773,15.20548096,13.2022825,0.26759428,5.4102417,0.038735296,0.008212878,0.02390612,0.022984324,0.000989937,0.490799456
Denmark,48.65391995,11.84041054,3.216076788,36.27773345,12.48832142,15.92339224,0.232997149,11.75050323,0.023639973,0.005253133,0.053449627,0.034388906,0.000768155,0.222452475
Estonia,216.3134923,17.06281397,5.236975505,35.47223341,33.82637807,13.98508121,3.577858169,16.57413417,0.018923992,0.004772798,0.031281587,0.037194385,0.00076,0.631384947
Finland,142.960612,11.6406775,28.45625073,16.77825044,12.00531618,16.50210189,0.405236981,6.175777751,0.053196339,0.095980149,0.062426039,0.05677212,0.00110276,0.294589761
France,23.89106986,10.54469521,6.843711682,15.81582737,12.76814927,28.4591907,1.467400147,0.936651918,0.036160546,0.021710895,0.040640036,0.05767451,0.001157902,0.336446032
Germany,21.71848327,24.91398774,10.91997176,25.82237097,18.35292687,14.86299675,2.20548677,4.024337054,0.024447754,0.0135004,0.029655003,0.023928134,0.00084968,0.269488994
Greece,14.84263553,34.41046937,6.606949852,16.01635992,15.45983745,11.8612049,1.610189931,16.52142067,0.043311178,0.007335766,0.015797184,0.023840079,0.001774318,1.600905385
Hungary,73.50066532,16.06780726,3.892346696,17.62299925,7.494848952,9.625369739,0.44996532,3.364148423,0.021803495,0.006307301,0.031770865,0.012333372,0.000584877,1.120770758
Ireland,39.1796435,22.98766123,10.32162823,39.9398381,12.55405981,19.36670077,0.556738905,5.93731041,0.034546462,0.045290185,0.055400934,0.019409779,0.000670826,0.555443518
Italy,13.18687157,15.76336714,11.61414331,17.06263105,22.00108835,25.14611934,1.029782393,4.13613044,0.016075544,0.018188611,0.028444024,0.040713539,0.003470208,0.339083101
Latvia,141.2238605,3.808675213,1.256485588,8.349349872,4.47161753,12.81690522,1.49585846,1.010631593,0.013457261,0.002816992,0.018591126,0.024250627,0.00116354,0.387606868
Lithuania,172.3146671,3.966138013,1.603807364,13.8460396,4.160822472,14.82819898,0.605512596,1.052655801,0.013931932,0.005229704,0.03354681,0.0200472,0.001537533,0.650693755
Luxembourg,14.22433137,31.42242283,7.722907009,14.71254987,23.96454381,74.1785421,3.190369991,2.02044968,0.027559475,0.017800259,0.036442422,0.048091627,0.001872807,0.456243321
Malta,6.869394496,19.0472729,1.381468565,11.34187317,23.460633,9.633078295,0.038014213,2.268357066,0.024398493,0.000549021,0.015811804,0.028900465,0.000658825,1.174509614
Netherlands,55.74316598,20.03864579,9.643074696,41.59527769,16.43339988,13.63431115,3.461172237,23.18232359,0.020124702,0.011134263,0.053205713,0.029096939,0.001126814,0.254217861
Poland,68.53670364,28.09593115,8.805847087,33.09517068,16.16258477,10.67328342,0.494111852,3.475111079,0.065275594,0.007497481,0.023277534,0.01908555,0.001474318,0.976232422
Portugal,13.62768719,7.215761596,5.007772057,14.25073401,8.110294833,11.90506721,1.030387822,3.38560772,0.016378944,0.00731106,0.02466139,0.02123878,0.00064985,0.957175531
Romania,8.540568961,8.779328795,3.454515666,10.52682465,4.060304837,6.528913652,0.117767666,1.926769645,0.011652974,0.004567495,0.012642708,0.006557621,0.000333464,0.646498192
Slovakia,6.258951263,9.962303882,6.446916273,7.543554373,7.105079217,8.946567337,0.471260393,0.999860426,0.017028805,0.014461963,0.012778969,0.018409817,0.000320395,0.565064287
Slovenia,20.36234614,16.73748524,18.30081906,13.12916154,12.7509949,21.15615082,0.932625099,0,0.026759746,0.02486148,0.017975421,0.023190812,0.000895866,0.679753729
Spain,14.74121861,12.29230096,4.79014377,15.446976,8.771814735,13.75779079,0.622105486,4.341041667,0.026003321,0.008206254,0.028925398,0.020914265,0.000940107,0.88332104
Sweden,59.43849619,1.269990129,3.602729393,5.217008622,2.047532597,15.11935552,0.992963378,0.277791634,0.051623059,0.057695767,0.029319511,0.048842673,0.000810232,0.210782232
